日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-04-25,PLAZA,プラザイオンモール豊川店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-25,PLAZA,プラザイオンモール浜松市野店,バイワンシー,バイワンシー SP/TRサシェ,2,540,2026-04,2026-05-18 15:51:02
2026-04-22,PLAZA,ららぽーとEXPOCITY店,バイワンシー,バイワンシー ヒートケアトリートメント,1,2700,2026-04,2026-05-18 15:51:02
2026-04-20,PLAZA,プラザイオンモール筑紫野店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-20,PLAZA,プラザイオンモール川口前川店,バイワンシー,バイワンシー ピュアアミノシャンプー,1,2700,2026-04,2026-05-18 15:51:02
2026-04-20,PLAZA,プラザイオンモール川口前川店,バイワンシー,バイワンシー ヒートケアトリートメント,1,2700,2026-04,2026-05-18 15:51:02
2026-04-19,PLAZA,プラザイオンモール広島府中店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-13,PLAZA,プラザイオンモール広島府中店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-12,PLAZA,池袋パルコ店,バイワンシー,バイワンシー ピュアアミノシャンプー,1,2700,2026-04,2026-05-18 15:51:02
2026-04-12,PLAZA,プラザイオンモール筑紫野店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-11,PLAZA,プラザイオンモール筑紫野店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-11,PLAZA,プラザイオンモール豊川店,バイワンシー,バイワンシー Sリペアエッセンスサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-11,PLAZA,プラザイオンモール豊川店,バイワンシー,バイワンシー SP/TRサシェ,3,810,2026-04,2026-05-18 15:51:02
2026-04-10,PLAZA,アトレ吉祥寺店,バイワンシー,バイワンシー ピュアアミノシャンプー,1,2700,2026-04,2026-05-18 15:51:02
2026-04-07,PLAZA,プラザイオンモール広島府中店,バイワンシー,バイワンシー ピュアアミノシャンプー,1,2700,2026-04,2026-05-18 15:51:02
2026-04-06,PLAZA,ららぽーとEXPOCITY店,バイワンシー,バイワンシー ピュアアミノシャンプー,1,2700,2026-04,2026-05-18 15:51:02
2026-04-06,PLAZA,ららぽーとEXPOCITY店,バイワンシー,バイワンシー ヒートケアトリートメント,1,2700,2026-04,2026-05-18 15:51:02
2026-04-05,PLAZA,ルミネ北千住店,バイワンシー,バイワンシー ピュアアミノシャンプー,1,2700,2026-04,2026-05-18 15:51:02
2026-04-04,PLAZA,アミュプラザ小倉店,バイワンシー,バイワンシー ピュアアミノシャンプー,1,2700,2026-04,2026-05-18 15:51:02
2026-04-04,PLAZA,アトレ川越店,バイワンシー,バイワンシー ヒートケアトリートメント,1,2700,2026-04,2026-05-18 15:51:02
2026-04-04,PLAZA,プラザイオンモール甲府昭和店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-04,PLAZA,プラザイオンモール豊川店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-03,PLAZA,アトレ吉祥寺店,バイワンシー,バイワンシー ヒートケアトリートメント,1,2700,2026-04,2026-05-18 15:51:02
2026-04-02,PLAZA,プラザイオンモール筑紫野店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-02,PLAZA,プラザイオンモール川口前川店,バイワンシー,バイワンシー SP/TRサシェ,1,270,2026-04,2026-05-18 15:51:02
2026-04-01,PLAZA,神戸ハーバーランドumie店,バイワンシー,バイワンシー SP/TRサシェ,3,810,2026-04,2026-05-18 15:51:02
2026-04-30,PLAZA,梅田ヘップファイブ店,ラフドット,ラフドット インティメイトウォッシュ PM,2,7164,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,梅田ヘップファイブ店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ横浜店,YOU TOKYO,YOU TOKYO ヘアミルク RR,4,10720,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,アトレ大井町店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ大宮店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,汐留シオサイト店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,京都ポルタ店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,イオンモール羽生店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,イオンモール羽生店,ラフドット,ラフドット インティメイトウォッシュ MV,2,7164,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,イオンモール羽生店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,大船ルミネウイング店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネエスト新宿店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,天王寺ミオ店,ラフドット,ラフドット ヤクヨウホワイトセラム,1,3237,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,アトレ川越店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,アトレ恵比寿店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,池袋パルコ店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,京橋京阪モール店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,エスパル仙台店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ北千住店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,札幌ステラプレイス店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,札幌ステラプレイス店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,札幌ステラプレイス店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ラスカ小田原店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ池袋店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ池袋店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ池袋店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,イオンモールむさし村山店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,神戸三田プレミアムアウトレット,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,神戸三田プレミアムアウトレット,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,越谷イオンレイクタウン店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,たまプラーザテラス店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルクア大阪店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,上野マルイ店,レチスパ,レチスパ ヘアオイル,1,2400,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,軽井沢プリンスショッピングP店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ラスカ茅ケ崎店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ラスカ茅ケ崎店,TEABLESS,TEABLESS ボディローションMR,1,1500,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ペリエ千葉店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,名古屋ユニモール店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,名古屋ユニモール店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,アミュプラザくまもと店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,船橋東武店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ルミネ有楽町店,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,ららテラス川口店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール筑紫野店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール太田店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール太田店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール新居浜店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,沖縄・浦添PARCOCITY店,ラフドット,ラフドット インティメイトウォッシュ PM,2,7164,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール高知店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール広島府中店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール白山店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール岡崎店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール高岡店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール豊川店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザイオンモール浜松市野店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,プラザシャミネ鳥取店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-06-04 03:32:50
2026-04-30,PLAZA,オンラインストア,ラフドット,ラフドット ヘアリムーバー,1,3400,2026-04,2026-06-04 03:32:50
