日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-04-01,アットコスメ,ルミネエスト新宿店,リフレッスー,モンチッチくん&モンチッチちゃん1  1.5ml,6,3480,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネエスト新宿店,リフレッスー,モンチッチくん  1.5ml,5,2900,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネエスト新宿店,リフレッスー,ドットカラー  1.5ml,8,4640,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネエスト新宿店,リフレッスー,まめっち  1.5ml,6,3480,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネエスト新宿店,m+,オーガニックバター  45g,5,13500,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーチャージ ピンク 130g,7,15400,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーシャンプー ピンク 150ml,4,9600,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーシャンプー パープル 150ml,5,12000,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,上野マルイ店,Veganifect,青麦LHAクレンジングジェル  205ml,1,2100,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,上野マルイ店,TEABLESS,ペアグリーンティーパフュームボディローション  250g,1,1500,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,上野マルイ店,資生堂プロフェッショナル,アデノバイタルアイラッシュセラム  6g,2,4600,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネ池袋店,m+,オーガニックバター  50g,4,10800,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,ルミネ有楽町店,Veganifect,青麦LHAクレンジングジェル  205ml,1,2100,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,マルイ溝口店,m+,オーガニックバター  45g,1,2700,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,マルイ溝口店,m+,m+ オーガニックバター,1,2700,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,マルイ溝口店,ラフドット,インティメイトウォッシュ  100ml,7,25074,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,マルイ溝口店,ラフドット,インティメイトウォッシュ  100ml,2,7164,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,マルイ溝口店,ラフドット,インティメイトウォッシュ  100ml,6,21492,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,マルイ溝口店,laugh.,インティメイトフレッシュミスト  14ml,1,3132,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,神戸マルイ店,ラフドット,インティメイトウォッシュ  100ml,5,17910,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,神戸マルイ店,laugh.,インティメイトフレッシュミスト  14ml,1,3132,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,神戸マルイ店,ラフドット,インティメイトウォッシュ  100ml,4,14328,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,池袋サンシャインシティ店,TEABLESS,リリームスクホワイトティーパフュームボディローション  250g,1,1500,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,池袋サンシャインシティ店,TEABLESS,ペアグリーンティーパフュームボディローション  250g,1,1500,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,池袋サンシャインシティ店,TEABLESS,ピュアムスクローズティーパフュームボディローション  250g,1,1500,2026-04,2026-05-18 15:46:03
2026-04-01,アットコスメ,池袋サンシャインシティ店,ラフドット,インティメイトウォッシュ  100ml,2,7164,2026-04,2026-05-18 15:46:03
