日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-06-01,アットコスメ,ルミネエスト新宿店,資生堂プロフェッショナル,アデノバイタルアイラッシュセラム  6g,3,6900,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,m+,オーガニックバター  45g,6,16200,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,レチスパ,頭皮用美容液  130g,2,5000,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,リフレッスー,モンチッチくん&モンチッチちゃん1  1.5ml,20,11600,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,リフレッスー,モンチッチくん  1.5ml,22,12760,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,リフレッスー,ドットカラー  1.5ml,9,5220,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,リフレッスー,まめっち  1.5ml,7,4060,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーチャージ パープル 130g,1,2200,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーシャンプー ピンク 150ml,1,2400,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネエスト新宿店,SOMARCA(ソマルカ),カラーシャンプー パープル 150ml,3,7200,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,上野マルイ店,資生堂プロフェッショナル,アデノバイタルアイラッシュセラム  6g,11,25300,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネ池袋店,リセニュア,クレンジングクリーム ジャー  100g,1,2700,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ルミネ有楽町店,Veganifect,青麦LHAクレンジングジェル  205ml,1,2100,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,マルイ溝口店,ラフドット,インティメイトウォッシュ  100ml,2,7164,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,マルイ溝口店,m+,オーガニックバター  45g,3,8100,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,神戸マルイ店,Veganifect,青麦ジンクセラム  30ml,1,2300,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,神戸マルイ店,Veganifect,青麦LHAクレンジングジェル  205ml,3,6300,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,神戸マルイ店,ラフドット,インティメイトウォッシュ  100ml,4,14328,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,神戸マルイ店,ラフドット,インティメイトウォッシュ  100ml,3,10746,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,神戸マルイ店,laugh.,インティメイトフレッシュミスト  14ml,2,6264,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,神戸マルイ店,ラフドット,インティメイトウォッシュ  100ml,9,32238,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,神戸マルイ店,laugh.,インティメイトフレッシュミスト  14ml,4,12528,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,池袋サンシャインシティ店,ULRUB,ボディスクラブ ホワイトリリー  230g,1,2700,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,池袋サンシャインシティ店,ULRUB,ボディスクラブ ピンクムスク  230g,1,2700,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,池袋サンシャインシティ店,ULRUB,ウルラブ ボディスクラブ  460g 本体,1,4500,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,池袋サンシャインシティ店,fru:C,ビタミンドロップ クロミコラボ  1ml×5包 限定品,2,1800,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,アミュエスト博多店,ラフドット,インティメイトウォッシュ  100ml,11,39402,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,アミュエスト博多店,ラフドット,インティメイトウォッシュ  100ml,2,7164,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,アミュエスト博多店,ULRUB,ボディスクラブ ホワイトリリー  460g,2,9000,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ららぽーと富士見店,laugh.,インティメイトフレッシュミスト  14ml,1,3132,2026-06,2026-07-17 08:05:06
2026-06-01,アットコスメ,ららぽーと富士見店,ラフドット,インティメイトウォッシュ  100ml,2,7164,2026-06,2026-07-17 08:05:06
