日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-06-06,ハンズ,ハンズ全店,バイワンシー,バイワンシー;シャンプー&トリートメント サシェ;,25,6697,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,YOU TOKYO,YOU TOKYO;ヘアミルク;シトラスホワイト,16,42880,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ラフドット,ラフドット;インティメイトウォッシュ;PM,13,46210,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,レチスパ,レチスパ;クリームシャンプー;サシェ,12,2400,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS4,11,21802,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,モレモ;SGダブルサシェ(SH&TR10);10ml×,10,1400,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,バイワンシー,バイワンシー;スムースリペアエッセンス サシェ;10g,10,2687,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,LILAY;トリートメントバーム mini;11g,10,9800,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,m+;オーガニックバター ;45g,9,24300,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,インシトゥ,インシトゥ;ハーブラピール4包;,7,16800,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS1,7,13874,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,YOU TOKYO,YOU TOKYO;ヘアオイル;ビュルデサボン,6,13680,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS6,6,11794,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,モレモ;SGダブルサシェ(SH&TR2X);10ml×,5,700,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,モレモ;シルキーリッチセット;バームミニ付,5,6775,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,m+;オーガニックオイル;50ml,5,7500,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Veganifect;青麦ジェルクレンザー;205ml,5,10500,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,SALTRAIN;トラベルキット ピンク;,5,4000,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,WAKICURE;ワキキュア;30g,5,18095,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS3,5,9910,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS7,5,9910,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS9,5,9910,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS10,5,9910,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,CAX;カックスブラック;50g,4,7200,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ラフドット,ラフドット;インティメイトウォッシュ;SB,4,14328,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS5,4,7928,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,バイワンシー,バイワンシー;スムースリペアエッセンス;140g,3,8100,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,YOU TOKYO,YOU TOKYO;ヘアミルク;ラヴィアンローズ,3,8040,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ラフドット,laugh.;ヘアリムーバー;75g,3,9860,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,SALTRAIN;トラベルキット グリーン;,3,2400,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ラフドット,laugh.;インティメイトウォッシュ;AL,3,10746,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS2,3,5946,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Sorara Beauty;ネイルチップ;SS8,3,5946,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ベルミス,ベルミス;スリムガードル for ウェーブ;M,3,12792,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,ULRUB;ヘッドスクラブ;200g,2,6750,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,レチスパ,レチスパ;クリームシャンプー;390g,2,6400,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,モレモ;モイスチャーリッチセット;バームミニ付,2,2528,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,レチスパ,レチスパ;クリームシャンプー詰替え;400g,2,6200,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,モレモ;トリートメントミラクル2XSG;180ml,2,3420,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,アニーロ;ガーデニアベールカラーシールド;50ml,2,4200,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,fru:C;フルーシー;28ml,2,5000,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Dr.BIO;ブルーアガベヒアルロン酸クリーム;50g,2,3800,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ラフドット,ラフドット;インティメイトフレッシュミスト;PM,2,5951,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,TEABLESS,ティーブレス;ボディローション250g;ローズティー,2,3000,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,SALTRAIN;トラベルキット ブルー;,2,1600,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,シクテン;ダイエットコーヒーアメリカーノ;14包入り,2,3000,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ベルミス,ベルミス;スリムガードル for ストレート;L,2,8528,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,ファストノット;BELMISEスリムレギンス;L−LL,2,7980,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ベルミス,ベルミス;スリムレギンスプレミアムLV2;中圧,2,10892,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ベルミス,ベルミス;スリムレギンスプレミアムLV3;強圧,2,10892,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ベルミス,ベルミス;スリムフルレッグクール+;M〜Lサイズ,2,9438,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ベルミス,ベルミス;スリムフルレッグクール+;L〜LLサイズ,2,9438,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,バイワンシー,バイワンシー;モイストブースターホイップ;200ml,1,2200,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,モレモ;ウォーターTRミラクル10SG;200ml,1,1995,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,m+;オーガニックオイル;200ml,1,3600,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,モレモ;プロリペアヘアミルクSG;80ml,1,1800,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,レチスパ,レチスパ;ヘアオイル;100ml,1,2400,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,アニーロ;ブラックティーナリッシングヘアエッセンス;,1,2000,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,YOU TOKYO,YOU TOKYO;ヘアオイル;ラヴィアンローズ,1,2280,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,LILAY;トリートメントバーム;40g,1,2500,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,フルーシー;ビタミンドロップ5包;5ml,1,900,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,フルーシー;PDRN+Cセラム;28ml,1,2500,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,Veganifect;青麦ジンクセラム;30ml,1,2300,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,（不明）,ULRUB;ボディスクラブ;460g,1,4500,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,ラフドット,ラフドット;インティメイトフレッシュミスト;SB,1,3132,2026-06,2026-06-15 04:07:57
2026-06-06,ハンズ,ハンズ全店,TEABLESS,ティーブレス;ボディローション250g;ホワイトティー,1,1500,2026-06,2026-06-15 04:07:57
