日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-04-30,ロフト,ロフト0201,ラフドット,ラフドットインティメイトウォッシュ SB,11,39402,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,ラフドット,ラフドットインティメイトウォッシュ PM,12,42984,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,ラフドット,ラフドットインティメイトウォッシュ AL,1,3582,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,レチスパ,レチスパ クリームシャンプー,3,9600,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,レチスパ,レチスパ クリームシャンプーサシェ,16,3200,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,レチスパ,レチスパ ヘアオイル,2,4800,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,レチスパ,レチスパ クリームシャンプー詰替,1,3100,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,レチスパ,レチスパ 頭皮用美容液,7,17500,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,ラフドット,ラフドット 薬用ホワイトセラム,3,9708,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,ラフドット,ラフドット ヘアリムーバー,3,10200,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,ラフドット,ラフドットインティメイトウォッシュ MV,8,28656,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0201,ラフドット,ラフドットインティメイトミスト MV,2,6264,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,ラフドット,ラフドットインティメイトウォッシュ SB,19,68058,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,ラフドット,ラフドットインティメイトウォッシュ PM,23,82386,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,ラフドット,ラフドットインティメイトウォッシュ AL,8,28656,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,レチスパ,レチスパ クリームシャンプー,12,38400,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,レチスパ,レチスパ ヘアオイル,11,26400,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,レチスパ,レチスパ クリームシャンプー詰替,10,31000,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,レチスパ,レチスパ 頭皮用美容液,9,22500,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,ラフドット,ラフドット 薬用ホワイトセラム,9,29124,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,ラフドット,ラフドット ヘアリムーバー,6,20400,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,ラフドット,ラフドットインティメイトウォッシュ MV,6,21492,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0202,ラフドット,ラフドットインティメイトミスト MV,2,6264,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0207,ラフドット,ラフドットインティメイトウォッシュ SB,12,42984,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0207,ラフドット,ラフドットインティメイトウォッシュ PM,7,25074,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0207,レチスパ,レチスパ クリームシャンプー,5,16000,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0207,レチスパ,レチスパ クリームシャンプーサシェ,32,6400,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0207,レチスパ,レチスパ ヘアオイル,1,2400,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0207,レチスパ,レチスパ クリームシャンプー詰替,1,3100,2026-04,2026-05-18 13:58:30
2026-04-30,ロフト,ロフト0207,レチスパ,レチスパ 頭皮用美容液,4,10000,2026-04,2026-05-18 13:58:30
