日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-06-02,ロフト,ロフト0202,インシトゥ,インシトゥ ハーブラピール,1,2400,2026-06,2026-06-08 04:00:39
2026-06-03,ロフト,ロフト0201,ルベル,イオ シャンプー リラックスメント200,1,1600,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0201,ルベル,イオセラム クリーム 200,3,6000,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0201,VIAGE,ビューティアップナイトブラ BグレーM,1,2980,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0202,VIAGE,ビューティアップナイトブラ ブラックL,1,2980,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0202,VIAGE,ビューティアップナイトブラ NピンクM,1,2980,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0202,ベルミス,ベルミス スリムレギンス M-L,1,3990,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0202,ラフドット,ラフドットインティメイトミスト MV,1,3132,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0202,wolg,wolg BBクリーム ナチュラル,1,2709,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0213,ルベル,イオセラム クリーム 200,2,4000,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0213,レチスパ,レチスパ クリームシャンプーサシェ,1,200,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0215,ルベル,イオ シャンプー リラックスメント200,1,1600,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0215,ルベル,ルベル ウィズ RP 140,1,1000,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0218,ルベル,トリエ フォーム 6,2,3000,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0218,ラフドット,ラフインティメイトフレッシュミスト SB,1,3132,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0218,ラフドット,ラフドットインティメイトウォッシュ PM,1,3582,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0218,レチスパ,レチスパ クリームシャンプーサシェ,1,200,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0218,ラフドット,ラフドットインティメイトウォッシュ MV,1,3582,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0218,バイワンシー,バイワンシー スムースリペアESサシェ,1,270,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0219,ルベル,ルベル ウィズ EP 140,1,1200,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0219,レチスパ,レチスパ クリームシャンプーサシェ,1,200,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0219,バイワンシー,バイワンシー モイストブースターホイップ,2,4400,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0219,ベルミス,リムーブレギンスEB M-L,1,11182,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0219,バイワンシー,バイワンシー スムース・リペアエッセンス,2,5400,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0223,ルベル,トリエ フォーム 4,2,3000,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0223,レチスパ,レチスパ クリームシャンプー,1,3200,2026-06,2026-06-08 04:00:51
2026-06-03,ロフト,ロフト0223,レチスパ,レチスパ クリームシャンプーサシェ,3,600,2026-06,2026-06-08 04:00:51
